id;code;last_date;reason;is_self_verify;is_hr_verify
1;calculating Sports deposit;2019-07-23;Stand-alone Small Rubber Pizza Fiji Dollar;false;true
2;online withdrawal;2019-07-23;Investment Account;true;true
3;Fantastic Steel Gloves out-of-the-box Group;2019-07-22;Zloty visionary;true;true
4;Borders;2019-07-22;Rubber Pizza Fish;true;false
5;Global Refined Granite Chips Fresh;2019-07-23;relationships heuristic Avon;true;false
6;Direct;2019-07-22;pink Row;true;true
7;navigating;2019-07-22;niches Bulgarian Lev interactive;false;true
8;Minnesota Secured revolutionize;2019-07-22;Virginia index Incredible;true;true
9;seize;2019-07-22;interface;true;true
10;Bedfordshire Table;2019-07-22;Unbranded Soft Pants;true;false
